,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
31,M32,10.67427083,40.86516944,0.0,42.0,41.82499920000026,2.0,43.0,27.64066560000316,10.0,40.0,27.374987999997558,40.0,51.0,54.609984000009035
32,M33,23.4621,30.65994167,1.0,33.0,50.90400000000116,2.0,2.0,38.386000800000915,23.0,27.0,43.55999999999824,30.0,39.0,35.79001199999453
33,M34,40.52083333,42.76166667,2.0,42.0,4.99999920000306,2.0,51.0,2.80000080000093,40.0,31.0,14.999988000007534,42.0,45.0,42.000011999988374
34,M35,92.225,24.33333333,6.0,8.0,54.00000000000354,1.0,37.0,19.99999920000093,92.0,13.0,29.999999999979536,24.0,19.0,59.999987999994744
35,M36,84.075,34.14,5.0,36.0,18.000000000004945,2.0,16.0,33.60000000000248,84.0,4.0,30.000000000010232,34.0,8.0,24.000000000002046
36,M37,88.075,32.55333333,5.0,52.0,18.00000000000452,2.0,10.0,12.799999200001722,88.0,4.0,30.000000000010232,32.0,33.0,11.999988000003441
37,M38,82.17916667,35.855,5.0,28.0,43.00000080000402,2.0,23.0,25.200000000000315,82.0,10.0,45.0000120000027,35.0,51.0,17.999999999988745
38,M39,322.95,48.43333333,21.0,31.0,48.00000000001688,3.0,13.0,43.99999920000244,322.0,56.0,59.99999999995907,48.0,25.0,59.99998800001265
39,M40,185.55220833,58.08294444,12.0,22.0,12.529999200012583,3.0,52.0,19.90666560000264,185.0,33.0,7.949988000048052,58.0,4.0,58.59998399999483
40,M41,101.50416667,-20.75666667,6.0,46.0,1.0000008000064042,-1.0,-23.0,-1.6000008000015953,101.0,30.0,15.00001200001293,-20.0,-45.0,-24.000012000004745
41,M42,83.82208333,-5.39111111,5.0,35.0,17.299999200002105,-0.0,-21.0,-33.866666400000156,83.0,49.0,19.49998799999321,-5.0,-23.0,-27.999995999999143
